bat_t0,bat_t1,bat_t2,bat_t3,bat_t4,bat_t5,riot_sum,prot_sum,expl_sum,viol_sum,strat_sum,prevalenceUndernourishment,"Death rate, crude (per 1,000 people)",GDP per Capita,Military expenditure (% of GDP),prevalenceUndernourishment_y2,"Death rate, crude (per 1,000 people)_y2",GDP per Capita_y2,Military expenditure (% of GDP)_y2,rfc,iso3,date
53.0,47.0,57.0,64.0,51.0,39.0,1.0,0.0,511.0,92.0,30.0,7.1,3.446,23338.9634580718,8.77471912659104,7.1,3.446,20803.7425657324,10.2513563494886,0.994,SAU,2019-02-01
0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,36.8,5.308,772.944459929187,1.2318198553324098,36.8,5.308,762.914374550788,1.27516194002714,0.01,RWA,2019-02-01
2.0,2.0,9.0,16.0,9.0,24.0,40.0,63.0,9.0,83.0,8.0,29.4,5.582000000000001,1710.51009699405,1.2204249864536498,29.4,5.582000000000001,1568.2015406641299,1.28737427114205,0.129,KEN,2019-02-01
0.0,2.0,1.0,0.0,0.0,0.0,28.0,87.0,157.0,17.0,20.0,2.5,5.1,41715.0292840432,4.34810126356225,2.5,5.1,40541.8620907084,4.4325638900397095,0.047,ISR,2019-02-01
0.0,1.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,1.0,3.0,10.5,6.997999999999999,7952.525892776509,1.5312076297688402,10.5,6.997999999999999,7212.535744306759,1.81048946881181,0.001,GAB,2019-02-01
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.083333333333336,7.367333333333334,5392.267943309889,1.6481922434630234,14.72,8.911999999999997,4014.415972687668,4.68027728624352,0.003,COG,2019-02-01
4.0,21.0,26.0,34.0,62.0,61.0,15.0,550.0,44.0,77.0,65.0,13.666666666666664,7.736666666666666,2832.009993843269,1.7651768571572066,12.35,13.295333333333335,1190.9588637918464,2.126021538752604,0.524,TUR,2019-02-01
5.0,7.0,1.0,3.0,3.0,6.0,35.0,26.0,20.0,238.0,17.0,15.25,8.106,271.752044376648,1.8821614708513899,9.7,8.106,292.997630684415,1.87065219636162,0.101,BDI,2019-02-01
75.0,84.0,76.0,76.0,78.0,92.0,21.0,48.0,307.0,330.0,106.0,16.833333333333332,11.062000000000001,314.544165670763,1.9411695392245436,17.36,11.062000000000001,309.055354770056,3.053767848737769,0.999,SOM,2019-02-01
3.0,1.0,0.0,0.0,2.0,3.0,11.0,1109.0,4.0,1.0,30.0,18.416666666666664,9.7015,514.8335348584516,2.0001776075976965,12.833333333333332,2.943,32654.347425031563,4.402627814604361,0.164,IRN,2019-02-01
20.0,9.0,11.0,15.0,9.0,9.0,26.0,98.0,19.0,121.0,67.0,20.0,8.341000000000001,715.12290404614,2.05918567597085,20.0,8.341000000000001,642.429838650148,1.42725841123202,0.209,BFA,2019-02-01
